"","Day","Hour","x","y"
"1",9,1,0.765859650622588,0.877053450385574
"2",9,2,0.948831642861478,0.917878644133452
"3",9,3,0.811608015268575,0.883191701374017
"4",9,4,0.831074756395537,0.940912927326281
"5",9,5,0.912217720295303,0.932710432854947
"6",9,6,0.822136207425501,0.952947455341928
"7",9,7,0.807718519354239,0.753362901683431
"8",9,8,0.906835052417591,0.897515636112075
"9",9,9,0.863783242646605,0.862235089414753
"10",9,10,0.835337884782348,0.772555916570127
"11",9,11,0.750653460389003,0.86711425811518
"12",9,12,0.940736751770601,0.753615175548475
"13",9,13,0.84656545141479,0.848584715975448
"14",9,14,0.866591875674203,0.890982522047125
"15",9,15,0.928684878628701,0.838132508099079
"16",9,16,0.771651984250639,0.85857788688736
"17",9,17,0.92232304404024,0.934054189187009
"18",9,18,0.901437457359862,0.96463788987603
"19",9,19,0.792284406430554,0.874061313457787
"20",9,20,0.851940294785891,0.885088913200889
"21",9,21,0.799330406705849,0.84888307529036
"22",9,22,0.839177194866352,0.755194887111429
"23",9,23,0.991142381448299,0.989703905885108
"24",9,24,0.839931041409727,0.775553579442203
