"","Day","Hour","x","y"
"1",1,1,0.576341986190528,0.171925258822739
"2",1,2,0.599398541264236,0.782931127818301
"3",1,3,0.432214479194954,0.434249628800899
"4",1,4,0.740181262837723,0.948559583164752
"5",1,5,0.933457867009565,0.0465934295207262
"6",1,6,0.25386449531652,0.555836752755567
"7",1,7,0.136281085433438,0.357313336338848
"8",1,8,0.237517182948068,0.999420960666612
"9",1,9,0.0396626575384289,0.0501078478991985
"10",1,10,0.809137559263036,0.995917772408575
"11",1,11,0.0954024102538824,0.497637765947729
"12",1,12,0.612060431623831,0.946583174169064
"13",1,13,0.906212774803862,0.388754427200183
"14",1,14,0.0430724835023284,0.212598307989538
"15",1,15,0.922555815661326,0.880723962793127
"16",1,16,0.36147779552266,0.498480313224718
"17",1,17,0.606103607453406,0.382379289250821
"18",1,18,0.122683487832546,0.140889186877757
"19",1,19,0.389204922830686,0.122609420446679
"20",1,20,0.832552127540112,0.479252584278584
"21",1,21,0.0531872424762696,0.99982541333884
"22",1,22,0.333136987872422,0.20313041517511
"23",1,23,0.29040260030888,0.158279547002167
"24",1,24,0.0547614083625376,0.997455223463476
"25",2,1,0.418883566278964,0.704356596572325
"26",2,2,0.865689684869722,0.670528060058132
"27",2,3,0.659478364279494,0.734661860624328
"28",2,4,0.929087790194899,0.763736492954195
"29",2,5,0.337682503042743,0.266317815054208
"30",2,6,0.744313501985744,0.815402338281274
"31",2,7,0.82287675421685,0.0797671449836344
"32",2,8,0.660706944996491,0.875393353402615
"33",2,9,0.518057013629004,0.360095516312867
"34",2,10,0.222897726809606,0.926504265284166
"35",2,11,0.384844467276707,0.601559117436409
"36",2,12,0.18399890139699,0.240986322285607
"37",2,13,0.711769779212773,0.334036790532991
"38",2,14,0.0902821626514196,0.297047285828739
"39",2,15,0.31918521085754,0.167214880464599
"40",2,16,0.844547805842012,0.0614178944379091
"41",2,17,0.290321693057194,0.783000137889758
"42",2,18,0.0393887443933636,0.970877455081791
"43",2,19,0.721677717752755,0.906596144894138
"44",2,20,0.32663746853359,0.802883092779666
"45",2,21,0.378196039004251,0.692688049050048
"46",2,22,0.451376585057005,0.705085479421541
"47",2,23,0.0391499416437,0.669415718875825
"48",2,24,0.0393045130185783,0.356418979121372
"49",3,1,0.752800238551572,0.821187586290762
"50",3,2,0.480100156739354,0.737430817214772
"51",3,3,0.307585002854466,0.702958037145436
"52",3,4,0.880060003371909,0.930622742976993
"53",3,5,0.304218512028456,0.176951316185296
"54",3,6,0.459754784824327,0.988843748345971
