"","Day","Hour","x","y"
"1",8,1,0.964684372069314,0.94809436914511
"2",8,2,0.752358785946853,0.787775819364469
"3",8,3,0.987416612158995,0.893680159759242
"4",8,4,0.952391098253429,0.889326498610899
"5",8,5,0.904154814779758,0.775552957959007
"6",8,6,0.76420795469312,0.941307912289631
"7",8,7,0.849982714280486,0.984676836465951
"8",8,8,0.769824732618872,0.835867401387077
"9",8,9,0.798142673622351,0.96461981482571
"10",8,10,0.96575787483016,0.831123794487212
"11",8,11,0.829025383864064,0.879758667026181
"12",8,12,0.912804724182934,0.757259555684868
"13",8,13,0.954364729113877,0.944407352653798
"14",8,14,0.851233515888453,0.905877766082995
"15",8,15,0.858416061440948,0.777845291420817
"16",8,16,0.833392256696243,0.928481183422264
"17",8,17,0.98004986270098,0.944198088778649
"18",8,18,0.791225306806155,0.789284336089622
"19",8,19,0.848104886361398,0.788267798605375
"20",8,20,0.844188521441538,0.902442797611002
"21",8,21,0.755294117436279,0.946186895307619
"22",8,22,0.861613386310637,0.871267653885297
"23",8,23,0.973178285174072,0.916832412709482
"24",8,24,0.866197162715252,0.757065813697409
