"","Day","Hour","x","y"
"1",10,1,0.887698432081379,0.784057864570059
"2",10,2,0.988423506030813,0.824543154274579
"3",10,3,0.822176599118393,0.780901735764928
"4",10,4,0.944385899230838,0.80097794503672
"5",10,5,0.88547085528262,0.92189846636029
"6",10,6,0.867698981950525,0.851939570391551
"7",10,7,0.962204546900466,0.983748782833572
"8",10,8,0.888350921042729,0.910385869501624
"9",10,9,0.93894791911589,0.882710884034168
"10",10,10,0.926142177777365,0.854963086254429
"11",10,11,0.751132447912823,0.828663873777259
"12",10,12,0.750291198783088,0.756412306800485
"13",10,13,0.914500474231318,0.757395879190881
"14",10,14,0.819027399644256,0.993301002425142
"15",10,15,0.769098289194517,0.839830177370459
"16",10,16,0.76300158794038,0.93340208515292
"17",10,17,0.798871866660193,0.914586737810168
"18",10,18,0.934507166268304,0.955927853530739
"19",10,19,0.937509491341189,0.817901478498243
"20",10,20,0.84439462661976,0.840678859269246
"21",10,21,0.9311931055272,0.82328410592163
"22",10,22,0.98686570848804,0.972626918868627
"23",10,23,0.771948179695755,0.758468279789668
"24",10,24,0.812759992433712,0.903851296345238
