"","Day","Hour","x","y"
"1",11,1,0.83401524258079,0.784407067811117
"2",11,2,0.925361092959065,0.762241309566889
"3",11,3,0.948748953465838,0.903982820746023
"4",11,4,0.961694276251364,0.981950411456637
"5",11,5,0.818021744606085,0.805757899477612
"6",11,6,0.908406612172257,0.880896435643081
"7",11,7,0.792521867493633,0.809752703004051
"8",11,8,0.851057565771043,0.959636526356917
"9",11,9,0.814339931122959,0.947913337906357
"10",11,10,0.752904102322645,0.904173095885199
"11",11,11,0.960933324764483,0.975949782237876
"12",11,12,0.82089803321287,0.759884847153444
"13",11,13,0.853638806496747,0.800525819126051
"14",11,14,0.797533617063891,0.963589694409166
"15",11,15,0.995794259477407,0.994476730935276
"16",11,16,0.962258334853686,0.948450556199532
"17",11,17,0.95097170129884,0.835704309807625
"18",11,18,0.796540751354769,0.891969755175523
"19",11,19,0.890173272637185,0.892647552769631
"20",11,20,0.763496223255061,0.91526862909086
"21",11,21,0.757594079012051,0.960944028745871
"22",11,22,0.855138514540158,0.934567265911028
"23",11,23,0.954336369002704,0.875490995997097
"24",11,24,0.8167823877302,0.818121593038086
